Programa,Tempo,Comprimento,Threads
ConcQuicksort,0.988454,10000000,4
ConcQuicksort,0.988861,10000000,4
ConcQuicksort,0.988529,10000000,4
ConcQuicksort,0.991855,10000000,4
ConcQuicksort,0.007422,100000,4
ConcQuicksort,0.007449,100000,4
ConcQuicksort,0.007780,100000,4
ConcQuicksort,0.007896,100000,4
ConcQuicksort,0.007816,100000,4
ConcQuicksort,0.079573,1000000,4
ConcQuicksort,0.080051,1000000,4
ConcQuicksort,0.078109,1000000,4
ConcQuicksort,0.079659,1000000,4
ConcQuicksort,0.082723,1000000,4
ConcQuicksort,0.000390,10,4
ConcQuicksort,0.000496,10,4
ConcQuicksort,0.000214,10,4
ConcQuicksort,0.000321,10,4
ConcQuicksort,0.000202,10,4
ConcQuicksort,0.000222,100,4
ConcQuicksort,0.000116,100,4
ConcQuicksort,0.000145,100,4
ConcQuicksort,0.000314,100,4
ConcQuicksort,0.000247,100,4
ConcQuicksort,0.000156,1000,4
ConcQuicksort,0.000163,1000,4
ConcQuicksort,0.000164,1000,4
ConcQuicksort,0.000276,1000,4
ConcQuicksort,0.000208,1000,4
ConcQuicksort,0.001307,10000,4
ConcQuicksort,0.001331,10000,4
ConcQuicksort,0.001650,10000,4
ConcQuicksort,0.001150,10000,4
ConcQuicksort,0.001324,10000,4
