Programa,Tempo,Comprimento,Threads
ConcQuicksort,0.000126,1000,2
ConcQuicksort,0.000106,1000,2
ConcQuicksort,0.000147,1000,2
ConcQuicksort,0.000522,1000,2
ConcQuicksort,0.000551,10000,2
ConcQuicksort,0.000545,10000,2
ConcQuicksort,0.000567,10000,2
ConcQuicksort,0.000672,10000,2
ConcQuicksort,0.000572,10000,2
ConcQuicksort,0.005666,100000,2
ConcQuicksort,0.005091,100000,2
ConcQuicksort,0.005012,100000,2
ConcQuicksort,0.004994,100000,2
ConcQuicksort,0.005012,100000,2
ConcQuicksort,0.047750,1000000,2
ConcQuicksort,0.047566,1000000,2
ConcQuicksort,0.047499,1000000,2
ConcQuicksort,0.047321,1000000,2
ConcQuicksort,0.047564,1000000,2
ConcQuicksort,0.000101,10,2
ConcQuicksort,0.000170,10,2
ConcQuicksort,0.000086,10,2
ConcQuicksort,0.000074,10,2
ConcQuicksort,0.000132,10,2
ConcQuicksort,0.000136,100,2
ConcQuicksort,0.000074,100,2
ConcQuicksort,0.000087,100,2
ConcQuicksort,0.000136,100,2
ConcQuicksort,0.000071,100,2
ConcQuicksort,6.405347,100000000,4
ConcQuicksort,6.451779,100000000,4
ConcQuicksort,6.379458,100000000,4
ConcQuicksort,6.428067,100000000,4
ConcQuicksort,7.890587,100000000,4
ConcQuicksort,0.597614,10000000,4
ConcQuicksort,0.577104,10000000,4
ConcQuicksort,0.585791,10000000,4
ConcQuicksort,0.598660,10000000,4
ConcQuicksort,0.684113,10000000,4
ConcQuicksort,0.000407,1000,4
ConcQuicksort,0.000397,1000,4
ConcQuicksort,0.000154,1000,4
ConcQuicksort,0.000149,1000,4
ConcQuicksort,0.000465,1000,4
ConcQuicksort,0.000800,10000,4
ConcQuicksort,0.001039,10000,4
ConcQuicksort,0.000803,10000,4
ConcQuicksort,0.001002,10000,4
ConcQuicksort,0.001103,10000,4
ConcQuicksort,0.006982,100000,4
ConcQuicksort,0.007056,100000,4
ConcQuicksort,0.007178,100000,4
ConcQuicksort,0.007219,100000,4
ConcQuicksort,0.007049,100000,4
ConcQuicksort,0.057100,1000000,4
ConcQuicksort,0.057898,1000000,4
ConcQuicksort,0.057791,1000000,4
ConcQuicksort,0.065192,1000000,4
ConcQuicksort,0.056390,1000000,4
ConcQuicksort,0.000311,10,4
ConcQuicksort,0.000371,10,4
ConcQuicksort,0.000384,10,4
